sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
98,"Agricultural and Forestry Production Managers, Others",1311.99,1221.9,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Agricultural and Forestry Production Managers, Others are responsible for managing plantation operations. This includes examining soil conditions, climatic factors, and marketing opportunities to select and purchase necessary resources like seeds, fertilizers, and implements. They oversee crop selection, planting, ploughing, and harvesting, while also implementing pest control measures and promoting product sales. Their duties involve managing the entire production process from seed to harvest, with a focus on crop optimization and market outreach.","The occupation Agricultural and Forestry Production Managers, Others NCO 2015: 1311.9900, NCO 2004: 1221.90 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Agricultural and Forestry Production Managers, Others are responsible for managing plantation operations. This includes examining soil conditions, climatic factors, and marketing opportunities to select and purchase necessary resources like seeds, fertilizers, and implements. They oversee crop selection, planting, ploughing, and harvesting, while also implementing pest control measures and promoting product sales. Their duties involve managing the entire production process from seed to harvest, with a focus on crop optimization and market outreach."
99,"Manager, Aerial Planting and Cultivation",1311.1,1221.24,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager, Aerial Planting and Cultivation manages operations involving the sowing and establishment of crops using aerial seed equipment. This role includes negotiating contracts with farm personnel to ensure seed distribution and crop establishment, overseeing the entire process from seed preparation to field planting. It focuses on agricultural production and specialized services.","The occupation Manager, Aerial Planting and Cultivation NCO 2015: 1311.1000, NCO 2004: 1221.24 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager, Aerial Planting and Cultivation manages operations involving the sowing and establishment of crops using aerial seed equipment. This role includes negotiating contracts with farm personnel to ensure seed distribution and crop establishment, overseeing the entire process from seed preparation to field planting. It focuses on agricultural production and specialized services."
100,"Manager, Orchard",1311.11,1221.26,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager, Orchard supervises orchard operations, including orchard development, irrigation, and harvesting. The role directs staff and monitors progress to ensure company production goals are met. Duties include evaluating reports, identifying problems, and authorizing adjustments to procedures based on environmental factors and regulations.","The occupation Manager, Orchard NCO 2015: 1311.1100, NCO 2004: 1221.26 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager, Orchard supervises orchard operations, including orchard development, irrigation, and harvesting. The role directs staff and monitors progress to ensure company production goals are met. Duties include evaluating reports, identifying problems, and authorizing adjustments to procedures based on environmental factors and regulations."
101,"Manager, Horticulture Farm",1311.12,1221.3,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager, Horticulture Farm oversees fruit plant production and marketing. This role involves planning and executing planting, maintenance, and growth activities, including selecting and purchasing plants, fertilizers, and agricultural equipment. The manager manages operations such as irrigation, weeding, spraying, and harvesting, ensuring regular water supply and supervising agricultural staff.  They determine crop types based on soil and climate, and oversee the entire production process, from marketing to transportation.","The occupation Manager, Horticulture Farm NCO 2015: 1311.1200, NCO 2004: 1221.30 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager, Horticulture Farm oversees fruit plant production and marketing. This role involves planning and executing planting, maintenance, and growth activities, including selecting and purchasing plants, fertilizers, and agricultural equipment. The manager manages operations such as irrigation, weeding, spraying, and harvesting, ensuring regular water supply and supervising agricultural staff.  They determine crop types based on soil and climate, and oversee the entire production process, from marketing to transportation."
102,"Manager, Livestock Farm",1311.13,1221.4,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager oversees a dairy farm, specializing in milk, butter, and ghee production. The role involves supervising animal selection, purchasing, housing, feeding, and treating animals, including breeding and artificial insemination. Tasks include overseeing milking, butter/ghee preparation, transportation, and selling unprofitable animals, while also coordinating with staff and ensuring hygiene.","The occupation Manager, Livestock Farm NCO 2015: 1311.1300, NCO 2004: 1221.40 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager oversees a dairy farm, specializing in milk, butter, and ghee production. The role involves supervising animal selection, purchasing, housing, feeding, and treating animals, including breeding and artificial insemination. Tasks include overseeing milking, butter/ghee preparation, transportation, and selling unprofitable animals, while also coordinating with staff and ensuring hygiene."
103,"Manager, Dairy Farm",1311.14,1221.5,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager of a dairy farm, overseeing milk production. The role includes animal selection and purchase, housing, feeding, and treatment of animals, breeding management, artificial insemination, and careful animal care. Responsibilities also include milk processing, transportation, marketing, and selling unprofitable animals, alongside supervising staff and coordinating operations.","The occupation Manager, Dairy Farm NCO 2015: 1311.1400, NCO 2004: 1221.50 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager of a dairy farm, overseeing milk production. The role includes animal selection and purchase, housing, feeding, and treatment of animals, breeding management, artificial insemination, and careful animal care. Responsibilities also include milk processing, transportation, marketing, and selling unprofitable animals, alongside supervising staff and coordinating operations."
104,"Manager, Poultry Farm",1311.15,1221.6,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"General Manager, Poultry oversees a poultry farm. The role involves raising poultry for eggs and table use, managing all aspects of the farm's production – including purchasing feed, supplies, breeding, hatching, and housing chicks. The manager ensures proper sanitation, medical care, and adherence to production targets to maximize yield and profit.","The occupation Manager, Poultry Farm NCO 2015: 1311.1500, NCO 2004: 1221.60 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: General Manager, Poultry oversees a poultry farm. The role involves raising poultry for eggs and table use, managing all aspects of the farm's production – including purchasing feed, supplies, breeding, hatching, and housing chicks. The manager ensures proper sanitation, medical care, and adherence to production targets to maximize yield and profit."
105,"General Manager, Plantation",1311.01,1301.2,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"General Manager, Plantation: This role focuses on overseeing the production and specialized services of agricultural crops, particularly tea, coffee, and rubber. The manager analyzes soil and climatic conditions to determine the most suitable crop for cultivation. Responsibilities include selecting, purchasing, and storing seeds, fertilizers, and agricultural implements. They manage the operation of planting, ploughing, and other crucial tasks, ensuring crop protection through measures like weeding and insecticide spraying.","The occupation General Manager, Plantation NCO 2015: 1311.0100, NCO 2004: 1301.20 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: General Manager, Plantation: This role focuses on overseeing the production and specialized services of agricultural crops, particularly tea, coffee, and rubber. The manager analyzes soil and climatic conditions to determine the most suitable crop for cultivation. Responsibilities include selecting, purchasing, and storing seeds, fertilizers, and agricultural implements. They manage the operation of planting, ploughing, and other crucial tasks, ensuring crop protection through measures like weeding and insecticide spraying."
106,"General Manager, Horticulture",1311.02,1301.3,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"Manager, Horticulture Farm supervises and organizes agricultural operations, including planting, maintenance, and growth of fruit plants. This role involves selecting and purchasing plants, fertilizers, and implements, coordinating irrigation, weeding, spraying, and harvesting. The manager oversees the entire production process, ensuring efficient water supply for crop cultivation and manages field and office staff. They determine market placement and transport for the produce.","The occupation General Manager, Horticulture NCO 2015: 1311.0200, NCO 2004: 1301.30 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: Manager, Horticulture Farm supervises and organizes agricultural operations, including planting, maintenance, and growth of fruit plants. This role involves selecting and purchasing plants, fertilizers, and implements, coordinating irrigation, weeding, spraying, and harvesting. The manager oversees the entire production process, ensuring efficient water supply for crop cultivation and manages field and office staff. They determine market placement and transport for the produce."
107,"General Manager, Agricultural Farm",1311.03,1301.1,Managers,Production and Specialized Services Managers,"Production Managers in Agriculture, Forestry and Fisheries",Agricultural and Forestry Production Managers,"General Manager, Plantation manages large-scale agricultural operations, including plantations. This role focuses on planning and coordinating production, overseeing crop growth and harvesting, and managing livestock. The general manager assesses soil conditions, climate, and market potential to determine appropriate crop types and strategies.","The occupation General Manager, Agricultural Farm NCO 2015: 1311.0300, NCO 2004: 1301.10 belongs to division Managers, subdivision Production and Specialized Services Managers, group Production Managers in Agriculture, Forestry and Fisheries, and family Agricultural and Forestry Production Managers. Description: General Manager, Plantation manages large-scale agricultural operations, including plantations. This role focuses on planning and coordinating production, overseeing crop growth and harvesting, and managing livestock. The general manager assesses soil conditions, climate, and market potential to determine appropriate crop types and strategies."
108,"Manager, Water Supply",1321.04,1222.6,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Incinerator and Water-Treatment Plant Operator. This role involves operating pumping equipment to transfer raw water to treatment plants or distribute processed water to various industries. Responsibilities include valve operation, switch management, and turbine/motor control to ensure efficient water distribution.","The occupation Manager, Water Supply NCO 2015: 1321.0400, NCO 2004: 1222.60 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Incinerator and Water-Treatment Plant Operator. This role involves operating pumping equipment to transfer raw water to treatment plants or distribute processed water to various industries. Responsibilities include valve operation, switch management, and turbine/motor control to ensure efficient water distribution."
109,"Manager, Food Processing Plant",1321.05,1222.65,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Manager of a food processing plant, responsible for overseeing the efficient management of resources, including men, money, and materials. The role centers on procuring agricultural products like water and seafood, ensuring proper storage, filtering, and delivery to consumers. This includes directing workers involved in processing, canning, freezing, and shipping food products, and approving payroll.","The occupation Manager, Food Processing Plant NCO 2015: 1321.0500, NCO 2004: 1222.65 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Manager of a food processing plant, responsible for overseeing the efficient management of resources, including men, money, and materials. The role centers on procuring agricultural products like water and seafood, ensuring proper storage, filtering, and delivery to consumers. This includes directing workers involved in processing, canning, freezing, and shipping food products, and approving payroll."
110,"Manager, Manufacturing",1321.06,1222.7,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Method Study Executive designs and evaluates integrated systems for industrial production, focusing on human factors, quality control, and material flow. Technicians are responsible for maintaining equipment and machinery's continuous operation, utilizing computer systems for oversight.","The occupation Manager, Manufacturing NCO 2015: 1321.0600, NCO 2004: 1222.70 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Method Study Executive designs and evaluates integrated systems for industrial production, focusing on human factors, quality control, and material flow. Technicians are responsible for maintaining equipment and machinery's continuous operation, utilizing computer systems for oversight."
111,"General Manager, Electricity",1321.07,1302.4,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Electrical Engineer, Generation and Supply installs, operates, and maintains power-generating stations and power transmission and distribution systems. This role involves surveying areas to determine installation of power lines, directing erection of distribution lines, supervising assembly and erection of equipment, and troubleshooting equipment issues to ensure reliable power supply.","The occupation General Manager, Electricity NCO 2015: 1321.0700, NCO 2004: 1302.40 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Electrical Engineer, Generation and Supply installs, operates, and maintains power-generating stations and power transmission and distribution systems. This role involves surveying areas to determine installation of power lines, directing erection of distribution lines, supervising assembly and erection of equipment, and troubleshooting equipment issues to ensure reliable power supply."
112,"General Manager, Gas",1321.08,1302.5,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Producer Gas Plant Operator operates a coal-burning gas plant. They manage the process of producing producer gas by heating coal and using steam and air to ignite it. The operator monitors gas quality, removes ash using a mechanical plough, controls gas release valves, and records readings from meters and gauges to ensure proper gas distribution and utilization.","The occupation General Manager, Gas NCO 2015: 1321.0800, NCO 2004: 1302.50 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Producer Gas Plant Operator operates a coal-burning gas plant. They manage the process of producing producer gas by heating coal and using steam and air to ignite it. The operator monitors gas quality, removes ash using a mechanical plough, controls gas release valves, and records readings from meters and gauges to ensure proper gas distribution and utilization."
113,"General Manager, Water Supply",1321.09,1302.6,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Managing Director and Chief Executive focused on water supply operations. This role oversees the organization’s activities related to water storage, filtration, and supply, ensuring efficient operations within defined authority. The position involves strategic planning, coordination, and leadership across multiple managers. It focuses on directing the overall management of public or private water-related organizations.","The occupation General Manager, Water Supply NCO 2015: 1321.0900, NCO 2004: 1302.60 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Managing Director and Chief Executive focused on water supply operations. This role oversees the organization’s activities related to water storage, filtration, and supply, ensuring efficient operations within defined authority. The position involves strategic planning, coordination, and leadership across multiple managers. It focuses on directing the overall management of public or private water-related organizations."
114,"General Manager, Manufacturing",1321.1,1302.7,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Method Study Executive designs and tests systems for industrial production processes, focusing on human factors, quality control, and material flow. They utilize computer systems to maintain equipment status and oversee continuous operation. The role involves mechanical engineering technician duties related to equipment maintenance and oversight.","The occupation General Manager, Manufacturing NCO 2015: 1321.1000, NCO 2004: 1302.7 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Method Study Executive designs and tests systems for industrial production processes, focusing on human factors, quality control, and material flow. They utilize computer systems to maintain equipment status and oversee continuous operation. The role involves mechanical engineering technician duties related to equipment maintenance and oversight."
115,"Manufacturing Managers, Other",1321.99,1302.9,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Production Supervisor-Sewing: This role involves guiding operations, allocating resources, and monitoring production activities. Supervisors plan and manage sewing operations, ensuring quality control, checking output, and interpreting specifications. They communicate with operators and provide solutions to problems that maintain desired production goals and organizational objectives.","The occupation Manufacturing Managers, Other NCO 2015: 1321.9900, NCO 2004: 1302.90 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Production Supervisor-Sewing: This role involves guiding operations, allocating resources, and monitoring production activities. Supervisors plan and manage sewing operations, ensuring quality control, checking output, and interpreting specifications. They communicate with operators and provide solutions to problems that maintain desired production goals and organizational objectives."
116,"Manager, Electricity",1321.01,1222.4,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Meter Sealer, Electrical – This role involves visiting customers' premises and industrial locations to inspect electrical equipment, including meters and switches. The primary duty is to verify the integrity of seals used to prevent tampering and theft of electricity. The technician checks equipment for damage and reports any instances of illegal tapping to superiors. They also conduct regular visits to ensure equipment remains intact.","The occupation Manager, Electricity NCO 2015: 1321.0100, NCO 2004: 1222.40 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Meter Sealer, Electrical – This role involves visiting customers' premises and industrial locations to inspect electrical equipment, including meters and switches. The primary duty is to verify the integrity of seals used to prevent tampering and theft of electricity. The technician checks equipment for damage and reports any instances of illegal tapping to superiors. They also conduct regular visits to ensure equipment remains intact."
117,Terminal Manager,1321.02,1222.45,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Terminal Manager is responsible for overseeing the operation of production and specialized services. They adjust equipment according to program requirements and direct workers to ensure proper performance. The role involves maintaining records, supervising workers, and ensuring equipment upkeep. It may also involve designation as supervisors for specific units.","The occupation Terminal Manager NCO 2015: 1321.0200, NCO 2004: 1222.45 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Terminal Manager is responsible for overseeing the operation of production and specialized services. They adjust equipment according to program requirements and direct workers to ensure proper performance. The role involves maintaining records, supervising workers, and ensuring equipment upkeep. It may also involve designation as supervisors for specific units."
118,"Manager, Gas",1321.03,1222.5,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Manufacturing Managers,"Producer Gas Plant Operator manages a gas production facility. They operate a coal-burning plant, utilizing a blower to ignite coal and introduce steam and air to produce producer gas. The operator monitors gas quality, removes ash using a mechanical plough, and controls gas release valves for distribution. They record data from meters and gauges to assess production.","The occupation Manager, Gas NCO 2015: 1321.0300, NCO 2004: 1222.50 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Manufacturing Managers. Description: Producer Gas Plant Operator manages a gas production facility. They operate a coal-burning plant, utilizing a blower to ignite coal and introduce steam and air to produce producer gas. The operator monitors gas quality, removes ash using a mechanical plough, and controls gas release valves for distribution. They record data from meters and gauges to assess production."
119,"Manager, Mine",1322.01,1222.1,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Manager, Health Club/Fitness Club/Gym supervision and coordination of fitness plans and client activities. This role involves scheduling staff, interviewing and training employees, observing performance, and ensuring customer service. The position focuses on planning and selling fitness programs to potential clients, as well as providing remedial training and supervision.","The occupation Manager, Mine NCO 2015: 1322.0100, NCO 2004: 1222.10 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Manager, Health Club/Fitness Club/Gym supervision and coordination of fitness plans and client activities. This role involves scheduling staff, interviewing and training employees, observing performance, and ensuring customer service. The position focuses on planning and selling fitness programs to potential clients, as well as providing remedial training and supervision."
120,"Manager, Quarry",1322.02,1222.2,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Mining Managers oversee quarry operations, including extraction, safety, and compliance with regulations. They supervise activities related to stone and mineral extraction, ensuring production and worker safety.  This role involves strategic management of quarry resources and adherence to established policies.","The occupation Manager, Quarry NCO 2015: 1322.0200, NCO 2004: 1222.20 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Mining Managers oversee quarry operations, including extraction, safety, and compliance with regulations. They supervise activities related to stone and mineral extraction, ensuring production and worker safety.  This role involves strategic management of quarry resources and adherence to established policies."
121,"Manager, Well Drilling",1322.03,1222.3,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Manager, Well Drilling oversees the operation of public and private organizations involved in drilling and well construction. This role includes supervising activities related to extracting mineral oil, natural gas, and other resources through well operations. The manager is responsible for overall production and safety, ensuring compliance with regulations and directives from management. They are designated based on the specific tasks and authority delegated, such as managing oil or gas well operations.","The occupation Manager, Well Drilling NCO 2015: 1322.0300, NCO 2004: 1222.30 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Manager, Well Drilling oversees the operation of public and private organizations involved in drilling and well construction. This role includes supervising activities related to extracting mineral oil, natural gas, and other resources through well operations. The manager is responsible for overall production and safety, ensuring compliance with regulations and directives from management. They are designated based on the specific tasks and authority delegated, such as managing oil or gas well operations."
122,"General Manager, Mine",1322.04,1302.1,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"General Manager, Mine: This role involves overseeing all aspects of mining operations, including financial management, administrative coordination, human resource planning, and strategic policy implementation. The role’s primary focus is to direct the overall production and specialized services within the mining sector, ensuring efficient and profitable operations. It encompasses financial oversight, management of personnel, and adherence to established policies and procedures.","The occupation General Manager, Mine NCO 2015: 1322.0400, NCO 2004: 1302.10 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: General Manager, Mine: This role involves overseeing all aspects of mining operations, including financial management, administrative coordination, human resource planning, and strategic policy implementation. The role’s primary focus is to direct the overall production and specialized services within the mining sector, ensuring efficient and profitable operations. It encompasses financial oversight, management of personnel, and adherence to established policies and procedures."
123,"General Manager, Quarry",1322.05,1302.2,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Mining Managers oversee quarry operations, including extraction of stone, slate, and sand. They ensure production and safety standards are met, and operate according to statutory regulations and higher authority’s direction.  They manage activities related to well drilling and the extraction of mineral oil and natural gas.","The occupation General Manager, Quarry NCO 2015: 1322.0500, NCO 2004: 1302.20 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Mining Managers oversee quarry operations, including extraction of stone, slate, and sand. They ensure production and safety standards are met, and operate according to statutory regulations and higher authority’s direction.  They manage activities related to well drilling and the extraction of mineral oil and natural gas."
124,"General Manager, Well Drilling",1322.06,1302.3,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Well Drilling Manager oversees the operations of public or private organizations involved in well drilling and well sinking. This role involves supervising activities related to extracting mineral oil and natural gas, ensuring compliance with regulations and policies. The manager is responsible for production, safety, and overall management of the drilling team and operations.","The occupation General Manager, Well Drilling NCO 2015: 1322.0600, NCO 2004: 1302.30 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Well Drilling Manager oversees the operations of public or private organizations involved in well drilling and well sinking. This role involves supervising activities related to extracting mineral oil and natural gas, ensuring compliance with regulations and policies. The manager is responsible for production, safety, and overall management of the drilling team and operations."
125,"Mining Managers, Other",1322.99,1222.9,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Mining Managers,"Mining Managers oversee production activities within mining operations, primarily focused on coal, ore, and mica extraction. They plan, direct, and supervise operations in mine sections, ensuring compliance with regulations and company policy.  The role involves monitoring safety, controlling operations, and managing personnel.  This includes designating as a Mine Superintendent, Collery Manager, Iron Mine Manager, or Copper Mine Manager.","The occupation Mining Managers, Other NCO 2015: 1322.9900, NCO 2004: 1222.90 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Mining Managers. Description: Mining Managers oversee production activities within mining operations, primarily focused on coal, ore, and mica extraction. They plan, direct, and supervise operations in mine sections, ensuring compliance with regulations and company policy.  The role involves monitoring safety, controlling operations, and managing personnel.  This includes designating as a Mine Superintendent, Collery Manager, Iron Mine Manager, or Copper Mine Manager."
126,"Manager, Land Survey",1323.02,1223.2,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers,"Manager of Land Surveying operations. This role involves surveying the Earth’s surface, creating reports and legal documents related to land, and coordinating work with various teams. The manager develops organizational policies, manages budgets, directs survey teams, and ensures compliance with legal requirements. They also oversee the creation of land descriptions and act as a legal expert, potentially testifying in court.","The occupation Manager, Land Survey NCO 2015: 1323.0200, NCO 2004: 1223.20 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Construction Managers. Description: Manager of Land Surveying operations. This role involves surveying the Earth’s surface, creating reports and legal documents related to land, and coordinating work with various teams. The manager develops organizational policies, manages budgets, directs survey teams, and ensures compliance with legal requirements. They also oversee the creation of land descriptions and act as a legal expert, potentially testifying in court."
127,"General Manager, Construction/General Manager Construction Projects",1323.03,1303.1,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers,"Construction Managers plan and oversee construction projects, including civil engineering works like buildings and infrastructure. They coordinate activities within their delegated authority, overseeing public and private organization projects focused on construction, maintenance, and repair of structures. This role involves managing excavation, construction, and related tasks.","The occupation General Manager, Construction/General Manager Construction Projects NCO 2015: 1323.0300, NCO 2004: 1303.10 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Construction Managers. Description: Construction Managers plan and oversee construction projects, including civil engineering works like buildings and infrastructure. They coordinate activities within their delegated authority, overseeing public and private organization projects focused on construction, maintenance, and repair of structures. This role involves managing excavation, construction, and related tasks."
128,"Construction Managers, Other",1323.99,1303.9,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers,"Construction Managers, Other oversee construction projects, including building maintenance tasks. They supervise workers on various construction activities, such as foundation repair, structure construction, and building finishing. The role involves tasks like overseeing construction operations and ensuring quality standards.","The occupation Construction Managers, Other NCO 2015: 1323.9900, NCO 2004: 1303.90 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Construction Managers. Description: Construction Managers, Other oversee construction projects, including building maintenance tasks. They supervise workers on various construction activities, such as foundation repair, structure construction, and building finishing. The role involves tasks like overseeing construction operations and ensuring quality standards."
129,"Manager, Construction/Manager Construction Projects",1323.01,1223.1,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers",Construction Managers,"Construction Managers plan, direct, and supervise construction projects, including civil engineering projects, buildings, and dwellings. They coordinate the activities of various organizations involved in construction, maintenance, and repairs of infrastructure like roads, railways, and bridges. Their responsibilities encompass excavation, construction, and supervision of public and private projects.","The occupation Manager, Construction/Manager Construction Projects NCO 2015: 1323.0100, NCO 2004: 1223.10 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Construction Managers. Description: Construction Managers plan, direct, and supervise construction projects, including civil engineering projects, buildings, and dwellings. They coordinate the activities of various organizations involved in construction, maintenance, and repairs of infrastructure like roads, railways, and bridges. Their responsibilities encompass excavation, construction, and supervision of public and private projects."
130,"Traffic Officer, Air Service/Traffic Controller",1324.11,1226.39,Managers,Production and Specialized Services Managers,"Manufacturing, Mining, Construction and Distribution Managers","Supply, Distribution and Related Managers","Traffic Officer, Air Service/Traffic Controller supervises bus operations in a region. They examine tickets and luggage to verify ticket accuracy and proper passenger loading. They manage bus schedules, ensuring efficient traffic flow, and respond to accidents, traffic congestion, or other incidents by diverting buses to alternate routes. The role involves reporting incidents to higher authorities and coordinating with depot and headquarters.","The occupation Traffic Officer, Air Service/Traffic Controller NCO 2015: 1324.1100, NCO 2004: 1226.39 belongs to division Managers, subdivision Production and Specialized Services Managers, group Manufacturing, Mining, Construction and Distribution Managers, and family Supply, Distribution and Related Managers. Description: Traffic Officer, Air Service/Traffic Controller supervises bus operations in a region. They examine tickets and luggage to verify ticket accuracy and proper passenger loading. They manage bus schedules, ensuring efficient traffic flow, and respond to accidents, traffic congestion, or other incidents by diverting buses to alternate routes. The role involves reporting incidents to higher authorities and coordinating with depot and headquarters."
